id,kanji_id,word,kana,kanji,romaji,image_url
1,1,先生,せんせい,せん,sensei,
2,1,お先に,おさきに,さき,osakini,
3,1,先月,せんげつ,せん,sengetsu,
4,2,生活,せいかつ,せい,seikatsu,
5,2,生徒,せい と,せい,seito,
6,2,たん生日,たんじょうび,じょう,tanshoubi,
